No.,Paper name,Link,Authors,Year,Source,Cited,Description
28,PO-1020: better plans and easy plan selection via bi-objective optimization for HDR prostate brachytherapy,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:kNdYIx-mwKoC,"SC Maree, ES Kooreman, NH Luong, N Van Wieringen, A Bel, ECM Rodenburg, KA Hinnen, GH Westerveld, BR Pieters, PAN Bosman, T Alderliesten",2018,"Radiotherapy and Oncology 127, S571-S572, 2018",1,"ResultsWith a median follow-up of 25 months, 4 local recurrences were observed within first year of follow up after the procedure. The 2-year local control and overall survival outcomes for the entire group were 58.3% and 83.3%, respectively. The 4-year disease free survival was 50% and distant metastases was seen in 33.3% at 5 years. The dosimetric assessment revealed D90–4.07 Gy, V100–90.3%, V150–23.7% and V200–12.5%. Homogeneity index and Dose Non Uniformity Ratio were 0.71 and 0.37 respectively. Mean interval between the EBRT and Brachytherapy was 16 days. Median implant volume was 85 cc. On toxicity assessment, xerostomia, altered taste and dysphagia was seen as major complications albeit in grade I and II. Grade III toxicity was only 2% and no Grade IV Toxicity was seen. BED and EQD2 of 44Gy and 38Gy respectively were significant in preventing late toxicities and improve the …"
29,Efficiency enhancements for evolutionary capacity planning in distribution grids,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:Tyk-4Ss8FVUC,"Ngoc Hoang Luong, Marinus OW Grond, Han La Poutré, Peter AN Bosman",2014,"Proceedings of the Companion Publication of the 2014 Annual Conference on …, 2014",1,"In this paper, we tackle the distribution network expansion planning (DNEP) problem by employing two evolutionary algorithms (EAs): the classical Genetic Algorithm (GA) and a linkage-learning EA, specifically a Gene-pool Optimal Mixing Evolutionary Algorithm (GOMEA). We furthermore develop two efficiency-enhancement techniques for these two EAs for solving the DNEP problem: a restricted initialization mechanism to reduce the size of the explorable search space and a means to filter linkages (for GOMEA) to disregard linkage groups during genetic variation that are likely not useful. Experimental results on a benchmark network show that if we may assume that the optimal network will be very similar to the starting network, restricted initialization is generally useful for solving DNEP and moreover it becomes more beneficial to use the simple GA. However, in the more general setting where we cannot make the …"
30,An entropy approach to evaluation relaxation for Bayesian optimization algorithm,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:9yKSN-GCB0IC,"Hai Thi Thanh Nguyen, Hoang Ngoc Luong, Chang Wook Ahn",2012,"International Journal of Innovative Computing, Information and Control 8 …, 2012",1,"Bayesian Optimization Algorithm (BOA), a multivariate estimation of distribution algorithm, needs incorporating with efficiency enhancement techniques to be capable of solving difficult large-scale problems in a reliable and scalable manner. In this paper, we present a novel evaluation relaxation method which is based on the conditional entropy measurement. The concept of conditional entropy is rigorously analyzed and then is used to investigate the stability of the population. Especially, we utilize the evaluation relaxation strategy (ERS) proposed herein to determine whether a candidate solution should be evaluated by actual functions or be estimated by surrogate models. BOA coupled with our entropy-based ERS, termed en-BOA, shows its superiority in significantly reducing the total number of expensive fitness evaluations until reliable convergence. Experimental results prove that the entropy-based ERS enhances the efficiency of BOA while not negatively affecting the scalability of the original algorithm. In addition, the effects of our efficiency enhancement technique on population sizing requirements are also discussed."
31,"On the Impact of Linkage Learning, Gene-pool Optimal Mixing, and non-Redundant Encoding on Permutation Optimization",https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:qUcmZB5y_30C,"Arthur Guijt, Ngoc Hoang Luong, Peter AN Bosman, Mathijs de Weerdt",2022,"Swarm and Evolutionary Computation, 101044, 2022",,"Gene-pool Optimal Mixing Evolutionary Algorithms (GOMEAs) have been shown to achieve state-of-the-art results on various types of optimization problems with various types of problem variables. Recently, a GOMEA for permutation spaces was introduced by leveraging the random keys encoding, obtaining promising first results on permutation flow shop instances. A key cited strength of GOMEAs is linkage learning, i.e., the ability to determine and leverage, during optimization, key dependencies between problem variables. However, the added value of linkage learning was not tested in depth for permutation GOMEA. Here, we introduce a new version of permutation GOMEA, called qGOMEA, that works directly in permutation space, removing the redundancy of using random keys. We additionally consider various linkage information sources, including random noise, in both GOMEA variants, and compare …"
32,Enhancing Twin Delayed Deep Deterministic Policy Gradient with Cross-Entropy Method,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:hFOr9nPyWt4C,"Hieu Trung Nguyen, Khang Tran, Ngoc Hoang Luong",2021,"2021 8th NAFOSTED Conference on Information and Computer Science (NICS), 132-137, 2021",,"Hybridizations of Deep Reinforcement Learning (DRL) and Evolution Computation (EC) methods have recently showed considerable successes in a variety of high dimensional physical control tasks. These hybrid frameworks offer more robust mechanisms of exploration and exploitation in the policy network parameter search space when stabilizing gradient-based updates of DRL algorithms with population-based operations adopted from EC methods. In this paper, we propose a novel hybrid framework that effectively combines the efficiency of DRL updates and the stability of EC populations. We experiment with integrating the Twin Delayed Deep Deterministic Policy Gradient (TD3) and the Cross-Entropy Method (CEM). The resulting EC-enhanced TD3 algorithm (eTD3) are compared with the baseline algorithm TD3 and a state-of-the-art evolutionary reinforcement learning (ERL) method, CEM-TD3 …"
33,Efficiency Enhancement of Evolutionary Neural Architecture Search via Training-Free Initialization,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:-f6ydRqryjwC,"Quan Minh Phan, Ngoc Hoang Luong",2021,"2021 8th NAFOSTED Conference on Information and Computer Science (NICS), 138-143, 2021",,"In this paper, we adapt a method to enhance the efficiency of multi-objective evolutionary algorithms (MOEAs) when solving neural architecture search (NAS) problems by improving the initialization stage with minimal costs. Instead of sampling a small number of architectures from the search space, we sample a large number of architectures and estimate the performance of each one without invoking the computationally expensive training process but by using a zero-cost proxy. After ranking the architectures via their zero-cost proxy values and efficiency metrics, the best architectures are then chosen as the individuals of the initial population. To demonstrate the effectiveness of our method, we conduct experiments on the widely-used NAS-Bench-101 and NAS-Bench-201 benchmarks. Experimental results exhibit that the proposed method achieves not only considerable enhancements on the quality of initial …"
34,Hybrid linkage learning for permutation optimization with Gene-pool optimal mixing evolutionary algorithms,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:9ZlFYXVOiuMC,"Michal W Przewozniczek, Marcin M Komarnicki, Peter AN Bosman, Dirk Thierens, Bartosz Frej, Ngoc Hoang Luong",2021,"Proceedings of the Genetic and Evolutionary Computation Conference Companion …, 2021",,"Linkage learning techniques are employed to discover dependencies between problem variables. This knowledge can then be leveraged in an Evolutionary Algorithm (EA) to improve the optimization process. Of particular interest is the Gene-pool Optimal Mixing Evolutionary Algorithm (GOMEA) family, which has been shown to exploit linkage effectively. Recently, Empirical Linkage Learning (ELL) techniques were proposed for binary-encoded problems. While these techniques are computationally expensive, they have the benefit of never reporting spurious dependencies (false linkages), ie, marking two independent variables as being dependent. However, previous research shows that despite this property, for some problems, it is more suitable to employ more commonly-used Statistical-based Linkage Learning (SLL) techniques. Therefore, we propose to use both ELL and SLL in the form of Hybrid Linkage …"
35,Applying Deep Reinforcement Learning in Automated Stock Trading,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:QIV2ME_5wuYC,"Hieu Trung Nguyen, Ngoc Hoang Luong",2021,"Soft Computing: Biomedical and Related Applications, 285-297, 2021",,"The continuously changing nature of stock markets poses a non-trivial challenge to build automated trading agents that timely assist traders in their decision makings. Fixed sets of trading rules and offline pre-trained models are inefficient to adapt regarding the real-time fluctuations on the stock markets. Deep Reinforcement Learning (DRL) algorithms train autonomous agents that could potentially address such highly dynamic environments by integrating the generalization power of artificial neural networks with the online learning through experiences gained in the interactions with the environment. We investigate the capability of three DRL algorithms, namely Deep Deterministic Policy Gradient (DDPG), Twin Delayed DDPG (TD3), and Soft Actor-Critic (SAC), for tackling the automated stock trading problem. We employ two datasets, from the US and Vietnam markets, with different characteristics and market trends …"
36,Design and Application of Scalable Evolutionary Algorithms in Electricity Distribution Network Expansion Planning,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:YOwf2qJgpHMC,Ngoc Hoang Luong,2018,"Delft University of Technology, 2018",,"In our modern daily life, many activities require electricity, for example, the usage of domestic appliances, manufacturing, communication, and transportation. It is therefore essential to maintain a reliable supply of electricity to ensure the operation of such activities. The electricity supply, in a large part, depends on the underlying electrical networks that transfer electricity from power plants to meet the demand of end users. In the past, electricity consumption has grown over time and, at some point, the electricity demand will exceed the current capacity of certain network assets, causing overloads on parts of the networks. Functioning under overload conditions reduces the reliability of the networks and also damages network assets. Network reinforcement is thus required. This incurs substantial investment costs and time-consuming activities, such as acquisitions of new assets, constructions of substations, and installations of suitable cables and other electrical devices. Network operator companies, therefore, need to properly predict the growth of electricity demand and make suitable expansion plans to enhance the capacity of their networks. In addition, the recent emergence of renewable energy sources and smart grid technologies changes electricity consumption behaviors of users, the growth of electricity demand in general, and also the directions of network flows (due to local generation). This poses additional challenges that need to be addressed by the network operators. In this dissertation, we are interested in medium-voltage distribution networks, which are electrical networks that deliver electricity from high-voltage transmission networks to …"
37,Entropy measurement-based estimation model for bayesian optimization algorithm,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:2osOgNQ5qMEC,"Hai TT Nguyen, Hoang N Luong, Chang Wook Ahn",2010,"Proceedings of the 12th annual conference on Genetic and evolutionary …, 2010",,"In evolutionary algorithms, the efficiency enhancement techniques are capable of solving difficult large scale problems in a scalable manner. This paper rigorously analyzes the Bayesian optimization algorithm (BOA) incorporated with an innovative evaluation relaxation method based on the entropy measurement theory (en-BOA). In particular, the concept of entropy is used to develop the evaluation relaxation strategy (ERS) and to determine the rate of convergence. Entropy measurement-based ERS is employed to recognize which candidate solution should be evaluated by the actual function or be estimated by the surrogate model. Experiments prove that en-BOA significantly reduces the number of actual evaluations and the scalability of BOA is not negatively affected. Moreover, the entropy measurement-based evaluation relaxation technique does not require any larger population sizes."
38,Swarm and Evolutionary Computation,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:mB3voiENLucC,"Arthur Guijt, Ngoc Hoang Luong, Peter AN Bosman, Mathijs de Weerdt",,,,"Gene-pool Optimal Mixing Evolutionary Algorithms (GOMEAs) have been shown to achieve state-of-the-art results on various types of optimization problems with various types of problem variables. Recently, a GOMEA for permutation spaces was introduced by leveraging the random keys encoding, obtaining promising first results on permutation flow shop instances. A key cited strength of GOMEAs is linkage learning, ie, the ability to determine and leverage, during optimization, key dependencies between problem variables. However, the added value of linkage learning was not tested in depth for permutation GOMEA. Here, we introduce a new version of permutation GOMEA, called qGOMEA, that works directly in permutation space, removing the redundancy of using random keys. We additionally consider various linkage information sources, including random noise, in both GOMEA variants, and compare performance with various classic genetic algorithms on a wider range of problems than considered before. We find that, although the benefits of linkage learning are clearly visible for various artificial benchmark problems, this is far less the case for various real-world inspired problems. Finally, we find that qGOMEA performs best, and is more applicable to a wider range of permutation problems."
